Region,Cell_Type,n_cell,P_val(association),P_val(heterogeneity)
M_SN-RN,leukocyte,121,0.008991009,0.5964036
M_SN-RN,neuron,11252,0.35164836,0.44755244
M_SN-RN,oligodendrocyte,25331,0.8341658,0.26273727
M_SN-RN,oligodendrocyte precursor cell,3993,0.7022977,0.3856144
M_SN-RN,pericyte,74,0.0959041,0.43956044
M_SN-RN,vascular associated smooth muscle cell,42,0.035964034,0.9190809
M_SN,astrocyte,5312,0.19480519,0.06793207
M_SN,central nervous system macrophage,6555,0.34365633,0.04195804
M_SN,endothelial cell,94,0.011988012,0.07692308
M_SN,ependymal cell,3,0.38161838,0.8341658
M_SN,fibroblast,191,0.3006993,0.6013986
M_SN,leukocyte,243,0.008991009,0.010989011
M_SN,neuron,8425,0.103896104,0.08891109
M_SN,oligodendrocyte,34688,0.85114884,0.103896104
M_SN,oligodendrocyte precursor cell,3871,0.6103896,0.67432564
M_SN,pericyte,87,0.056943055,0.8321678
M_SN,vascular associated smooth muscle cell,36,0.044955045,0.012987013
PalCx_AON,astrocyte,674,0.024975024,0.05894106
PalCx_AON,central nervous system macrophage,257,0.17082918,0.66733265
PalCx_AON,endothelial cell,4,0.04095904,0.47852147
PalCx_AON,fibroblast,4,0.07392608,0.54545456
PalCx_AON,leukocyte,2,0.018981019,0.000999001
PalCx_AON,neuron,29261,0.6883117,0.75024974
PalCx_AON,oligodendrocyte,686,0.32667333,0.8991009
PalCx_AON,oligodendrocyte precursor cell,336,0.57342654,0.2977023
PalCx_AON,pericyte,5,0.02997003,0.5974026
PalCx_AON,vascular associated smooth muscle cell,1,0.08891109,NA
PalCx_Pir,astrocyte,1201,0.012987013,0.004995005
PalCx_Pir,central nervous system macrophage,532,0.11388611,0.75224775
PalCx_Pir,endothelial cell,43,0.006993007,0.13686314
PalCx_Pir,fibroblast,46,0.18881118,0.14685315
PalCx_Pir,leukocyte,11,0.016983017,0.3226773
PalCx_Pir,neuron,32175,0.88011986,0.84215784
PalCx_Pir,oligodendrocyte,2043,0.20879121,0.7782218
PalCx_Pir,oligodendrocyte precursor cell,852,0.5654346,0.34865135
PalCx_Pir,pericyte,11,0.22077923,0.8011988
PalCx_Pir,vascular associated smooth muscle cell,27,0.006993007,0.82817185
Perirhinal_cortex_A35r,astrocyte,5319,0.43056944,0.22877122
Perirhinal_cortex_A35r,central nervous system macrophage,770,0.45554444,0.992008
Perirhinal_cortex_A35r,endothelial cell,544,0.011988012,0.14085914
Perirhinal_cortex_A35r,fibroblast,305,0.44355646,0.4015984
Perirhinal_cortex_A35r,leukocyte,41,0.14785215,0.62437564
Perirhinal_cortex_A35r,neuron,3,0.16983017,0.34865135
Perirhinal_cortex_A35r,oligodendrocyte,4073,0.57042956,0.4005994
Perirhinal_cortex_A35r,oligodendrocyte precursor cell,6404,0.6943057,0.36663336
Perirhinal_cortex_A35r,pericyte,68,0.08891109,0.30769232
Perirhinal_cortex_A35r,vascular associated smooth muscle cell,8,0.10889111,0.8991009
Pn_PnAN,Bergmann glial cell,96,0.66933066,0.3106893
Pn_PnAN,astrocyte,1141,0.11988012,0.09090909
Pn_PnAN,central nervous system macrophage,824,0.12687312,0.002997003
Pn_PnAN,choroid plexus epithelial cell,18,0.04795205,0.55044955
Pn_PnAN,endothelial cell,55,0.001998002,0.010989011
Pn_PnAN,ependymal cell,223,0.06793207,0.05794206
Pn_PnAN,fibroblast,46,0.055944055,0.18381618
Pn_PnAN,leukocyte,32,0.13886113,0.9480519
Pn_PnAN,neuron,13666,0.36863136,0.43256745
Pn_PnAN,oligodendrocyte,6422,0.75024974,0.44355646
Pn_PnAN,oligodendrocyte precursor cell,785,0.81918085,0.11988012
Pn_PnAN,pericyte,36,0.13186814,0.16983017
Pn_PnAN,vascular associated smooth muscle cell,5,0.03196803,0.10689311
Pn_PnEN,Bergmann glial cell,34,0.23376623,0.34465533
Pn_PnEN,astrocyte,2404,0.012987013,0.01998002
Pn_PnEN,central nervous system macrophage,861,0.17082918,0.45154846
Pn_PnEN,choroid plexus epithelial cell,1,0.95704293,NA
Pn_PnEN,endothelial cell,136,0.025974026,0.36363637
Pn_PnEN,ependymal cell,120,0.022977022,0.23976023
Pn_PnEN,fibroblast,256,0.13086914,0.3026973
Pn_PnEN,leukocyte,136,0.005994006,0.33466533
Pn_PnEN,neuron,25136,0.81518483,0.5804196
Pn_PnEN,oligodendrocyte,16033,0.3056943,0.07292707
Pn_PnEN,oligodendrocyte precursor cell,2110,0.5914086,0.054945055
Pn_PnEN,pericyte,172,0.012987013,0.7132867
Pn_PnEN,vascular associated smooth muscle cell,17,0.005994006,0.18881118
Pn_PnRF_PB,Bergmann glial cell,7,0.74025977,0.44055945
Pn_PnRF_PB,astrocyte,1505,0.11588412,0.01998002
Pn_PnRF_PB,central nervous system macrophage,761,0.3206793,0.3046953
Pn_PnRF_PB,endothelial cell,32,0.08791209,0.20479521
Pn_PnRF_PB,ependymal cell,4,0.23676324,0.42557442
Pn_PnRF_PB,fibroblast,97,0.101898104,0.37262738
Pn_PnRF_PB,leukocyte,73,0.02997003,0.8061938
Pn_PnRF_PB,neuron,15507,0.3136863,0.24375625
Pn_PnRF_PB,oligodendrocyte,4954,0.65534467,0.63136864
Pn_PnRF_PB,oligodendrocyte precursor cell,1161,0.78121877,0.38861138
Pn_PnRF_PB,pericyte,35,0.051948052,0.73226774
Pn_PnRF_PB,vascular associated smooth muscle cell,19,0.15084915,0.9330669
Pn_PnRF,Bergmann glial cell,7,0.54345655,0.2997003
Pn_PnRF,astrocyte,3434,0.09290709,0.021978023
Pn_PnRF,central nervous system macrophage,3225,0.103896104,0.005994006
Pn_PnRF,choroid plexus epithelial cell,1,0.6613387,NA
Pn_PnRF,endothelial cell,118,0.000999001,0.51648355
Pn_PnRF,ependymal cell,2,0.0959041,0.000999001
Pn_PnRF,fibroblast,250,0.11188811,0.062937066
Pn_PnRF,leukocyte,155,0.002997003,0.24875125
Pn_PnRF,neuron,16035,0.44855145,0.85014987
Pn_PnRF,oligodendrocyte,21976,0.6993007,0.43856144
Pn_PnRF,oligodendrocyte precursor cell,4199,0.77222776,0.07092907
Pn_PnRF,pericyte,100,0.016983017,0.15484515
Pn_PnRF,vascular associated smooth muscle cell,10,0.018981019,0.7442557
Pn_PN,astrocyte,851,0.018981019,0.001998002
Pn_PN,central nervous system macrophage,1376,0.055944055,0.05294705
Pn_PN,endothelial cell,109,0.016983017,0.26773226
Pn_PN,fibroblast,199,0.24475524,0.02897103
Pn_PN,leukocyte,72,0.010989011,0.07992008
Pn_PN,neuron,18214,0.8041958,0.47252747
Pn_PN,oligodendrocyte,10225,0.2857143,0.58441556
Pn_PN,oligodendrocyte precursor cell,2503,0.2967033,0.44055945
Pn_PN,pericyte,72,0.003996004,0.3016983
Pn_PN,vascular associated smooth muscle cell,20,0.006993007,0.7422577
Pn_XPnTg_DTg,Bergmann glial cell,5,0.9120879,0.005994006
Pn_XPnTg_DTg,astrocyte,1204,0.1008991,0.8651349
Pn_XPnTg_DTg,central nervous system macrophage,275,0.044955045,0.021978023
Pn_XPnTg_DTg,endothelial cell,57,0.011988012,0.33066934
Pn_XPnTg_DTg,ependymal cell,76,0.04195804,0.96503496
Pn_XPnTg_DTg,fibroblast,160,0.22177823,0.18681319
Pn_XPnTg_DTg,leukocyte,19,0.002997003,0.987013
Pn_XPnTg_DTg,neuron,17996,0.8221778,0.5904096
Pn_XPnTg_DTg,oligodendrocyte,5123,0.20979021,0.1058941
Pn_XPnTg_DTg,oligodendrocyte precursor cell,1107,0.43956044,0.72527474
Pn_XPnTg_DTg,pericyte,54,0.07692308,0.075924076
Pn_XPnTg_DTg,vascular associated smooth muscle cell,19,0.08991009,0.40959042
SpC,Bergmann glial cell,7,0.94905096,0.2747253
SpC,astrocyte,2435,0.051948052,0.016983017
SpC,central nervous system macrophage,1676,0.32967034,0.101898104
SpC,choroid plexus epithelial cell,1,0.5834166,NA
SpC,endothelial cell,215,0.07392608,0.978022
SpC,ependymal cell,147,0.26973027,0.08391608
SpC,fibroblast,68,0.25174826,0.10989011
SpC,leukocyte,219,0.07092907,0.02997003
SpC,neuron,5819,0.43656343,0.63736266
SpC,oligodendrocyte,11547,0.7782218,0.6293706
SpC,oligodendrocyte precursor cell,1970,0.9240759,0.5264735
SpC,pericyte,78,0.08791209,0.83316684
SpC,vascular associated smooth muscle cell,8,0.034965035,0.13386613
THM_ANC,astrocyte,573,0.034965035,0.022977022
THM_ANC,central nervous system macrophage,452,0.05994006,0.8341658
THM_ANC,choroid plexus epithelial cell,8,0.17682318,0.05994006
THM_ANC,endothelial cell,51,0.01998002,0.16683316
THM_ANC,ependymal cell,90,0.008991009,0.000999001
THM_ANC,fibroblast,84,0.053946055,0.5134865
THM_ANC,leukocyte,50,0.012987013,0.002997003
THM_ANC,neuron,24985,0.74525476,0.6073926
THM_ANC,oligodendrocyte,3765,0.37062937,0.5184815
THM_ANC,oligodendrocyte precursor cell,1145,0.47452548,0.8761239
THM_ANC,pericyte,57,0.03196803,0.2917083
THM_ANC,vascular associated smooth muscle cell,47,0.050949052,0.63936067
THM_ILN_PILN_CM,astrocyte,437,0.2057942,0.4885115
THM_ILN_PILN_CM,central nervous system macrophage,284,0.3046953,0.66033965
THM_ILN_PILN_CM,endothelial cell,5,0.08491509,0.075924076
THM_ILN_PILN_CM,fibroblast,87,0.44455543,0.068931065
THM_ILN_PILN_CM,leukocyte,38,0.02097902,0.14085914
THM_ILN_PILN_CM,neuron,5997,0.57942057,0.4035964
THM_ILN_PILN_CM,oligodendrocyte,5522,0.53046954,0.63936067
THM_ILN_PILN_CM,oligodendrocyte precursor cell,436,0.73626375,0.82617384
THM_ILN_PILN_CM,pericyte,129,0.12687312,0.5804196
THM_ILN_PILN_CM,vascular associated smooth muscle cell,9,0.2927073,0.24175824
THM_ILN_PILN,astrocyte,1224,0.32467532,0.25974026
THM_ILN_PILN,central nervous system macrophage,640,0.2997003,0.17782217
THM_ILN_PILN,choroid plexus epithelial cell,1,0.7312687,NA
THM_ILN_PILN,endothelial cell,59,0.01998002,0.982018
THM_ILN_PILN,ependymal cell,27,0.21978022,0.18481518
THM_ILN_PILN,fibroblast,375,0.33166832,0.7982018
THM_ILN_PILN,leukocyte,37,0.016983017,0.5204795
THM_ILN_PILN,neuron,15984,0.45954046,0.54345655
THM_ILN_PILN,oligodendrocyte,5124,0.46453547,0.23676324
THM_ILN_PILN,oligodendrocyte precursor cell,815,0.45854145,0.0969031
THM_ILN_PILN,pericyte,45,0.07992008,0.84415585
THM_ILN_PILN,vascular associated smooth muscle cell,23,0.04995005,0.5984016
THM_LNC_LP,astrocyte,1851,0.5724276,0.17282717
THM_LNC_LP,central nervous system macrophage,639,0.18381618,0.11788212
THM_LNC_LP,endothelial cell,110,0.07892108,0.15084915
THM_LNC_LP,fibroblast,264,0.09490509,0.4855145
THM_LNC_LP,leukocyte,45,0.04695305,0.030969031
THM_LNC_LP,neuron,12519,0.64735264,0.44155845
THM_LNC_LP,oligodendrocyte,9102,0.40959042,0.3046953
THM_LNC_LP,oligodendrocyte precursor cell,1460,0.6883117,0.20379621
THM_LNC_LP,pericyte,170,0.41658342,0.04895105
THM_LNC_LP,vascular associated smooth muscle cell,12,0.121878125,0.23376623
THM_LNC_LP+VPL,astrocyte,742,0.3106893,0.55744255
THM_LNC_LP+VPL,central nervous system macrophage,650,0.24975026,0.33466533
THM_LNC_LP+VPL,endothelial cell,11,0.17582418,0.7532467
THM_LNC_LP+VPL,fibroblast,94,0.2117882,0.22677323
THM_LNC_LP+VPL,leukocyte,20,0.2997003,0.18881118
THM_LNC_LP+VPL,neuron,1461,0.03696304,0.037962038
THM_LNC_LP+VPL,oligodendrocyte,14037,0.9130869,0.075924076
THM_LNC_LP+VPL,oligodendrocyte precursor cell,573,0.5354645,0.46853146
THM_LNC_LP+VPL,pericyte,67,0.27372628,0.5724276
THM_LNC_LP+VPL,vascular associated smooth muscle cell,5,0.24775225,0.33366632
THM_LNC_Pul,Bergmann glial cell,1,0.57042956,NA
THM_LNC_Pul,astrocyte,2527,0.20379621,0.015984016
THM_LNC_Pul,central nervous system macrophage,1474,0.27072927,0.34165835
THM_LNC_Pul,choroid plexus epithelial cell,27,0.16583416,0.5104895
THM_LNC_Pul,endothelial cell,144,0.07492507,0.6073926
THM_LNC_Pul,ependymal cell,86,0.011988012,0.46553448
THM_LNC_Pul,fibroblast,357,0.27572426,0.8431568
THM_LNC_Pul,leukocyte,59,0.000999001,0.54645354
THM_LNC_Pul,neuron,30449,0.7312687,0.2957043
THM_LNC_Pul,oligodendrocyte,9659,0.3116883,0.13686314
THM_LNC_Pul,oligodendrocyte precursor cell,1392,0.6323676,0.015984016
THM_LNC_Pul,pericyte,231,0.021978023,0.993007
THM_LNC_Pul,vascular associated smooth muscle cell,47,0.011988012,0.7082917
THM_LNC_VA,astrocyte,577,0.3126873,0.31868133
THM_LNC_VA,central nervous system macrophage,190,0.25374624,0.04295704
THM_LNC_VA,endothelial cell,12,0.068931065,0.43456542
THM_LNC_VA,ependymal cell,44,0.023976024,0.21878122
THM_LNC_VA,fibroblast,73,0.3206793,0.6753247
THM_LNC_VA,leukocyte,28,0.15584415,0.45354646
THM_LNC_VA,neuron,4235,0.75424576,0.27072927
THM_LNC_VA,oligodendrocyte,3181,0.25974026,0.2977023
THM_LNC_VA,oligodendrocyte precursor cell,221,0.76523477,0.10489511
THM_LNC_VA,pericyte,11,0.26273727,0.7672328
THM_LNC_VA,vascular associated smooth muscle cell,1,0.14485514,NA
THM_LNC_VLN,astrocyte,1369,0.17582418,0.3116883
THM_LNC_VLN,central nervous system macrophage,976,0.25374624,0.6843157
THM_LNC_VLN,endothelial cell,52,0.037962038,0.5314685
THM_LNC_VLN,ependymal cell,9,0.12287712,0.96503496
THM_LNC_VLN,fibroblast,291,0.3126873,0.33266732
THM_LNC_VLN,leukocyte,43,0.001998002,0.47252747
THM_LNC_VLN,neuron,14486,0.76523477,0.61538464
THM_LNC_VLN,oligodendrocyte,8462,0.37962037,0.27872127
THM_LNC_VLN,oligodendrocyte precursor cell,1349,0.64235765,0.57942057
THM_LNC_VLN,pericyte,64,0.32967034,0.114885114
THM_LNC_VLN,vascular associated smooth muscle cell,10,0.3976024,0.8431568
THM_LNC_VPL,astrocyte,182,0.05794206,0.026973028
THM_LNC_VPL,central nervous system macrophage,400,0.07892108,0.25374624
THM_LNC_VPL,endothelial cell,20,0.04995005,0.47252747
THM_LNC_VPL,fibroblast,57,0.25874126,0.8701299
THM_LNC_VPL,leukocyte,15,0.000999001,0.43656343
THM_LNC_VPL,neuron,2309,0.5024975,0.2937063
THM_LNC_VPL,oligodendrocyte,3491,0.66733265,0.40759242
THM_LNC_VPL,oligodendrocyte precursor cell,380,0.73626375,0.18081918
THM_LNC_VPL,pericyte,22,0.23176824,0.5084915
THM_LNC_VPL,vascular associated smooth muscle cell,1,0.00999001,NA
THM_MNC_MD+Re,astrocyte,564,0.18581419,0.4965035
THM_MNC_MD+Re,central nervous system macrophage,451,0.36963037,0.022977022
THM_MNC_MD+Re,choroid plexus epithelial cell,2,0.57342654,0.000999001
THM_MNC_MD+Re,endothelial cell,22,0.037962038,0.23976023
THM_MNC_MD+Re,ependymal cell,32,0.061938062,0.36463538
THM_MNC_MD+Re,fibroblast,98,0.7152847,0.12687312
THM_MNC_MD+Re,leukocyte,25,0.000999001,0.21478522
THM_MNC_MD+Re,neuron,8918,0.8111888,0.34865135
THM_MNC_MD+Re,oligodendrocyte,2817,0.35464534,0.066933066
THM_MNC_MD+Re,oligodendrocyte precursor cell,379,0.5814186,0.053946055
THM_MNC_MD+Re,pericyte,54,0.043956045,0.16883117
THM_MNC_MD+Re,vascular associated smooth muscle cell,20,0.006993007,0.77922076
THM_MNC_MD,astrocyte,533,0.23476523,0.34065935
THM_MNC_MD,central nervous system macrophage,396,0.33266732,0.33866134
THM_MNC_MD,endothelial cell,29,0.034965035,0.011988012
THM_MNC_MD,ependymal cell,120,0.05994006,0.26673326
THM_MNC_MD,fibroblast,88,0.18981019,0.34265736
THM_MNC_MD,leukocyte,20,0.002997003,0.7952048
THM_MNC_MD,neuron,17500,0.966034,0.7952048
THM_MNC_MD,oligodendrocyte,1842,0.27772227,0.24175824
THM_MNC_MD,oligodendrocyte precursor cell,335,0.5014985,0.86013985
THM_MNC_MD,pericyte,36,0.050949052,0.45254746
THM_MNC_MD,vascular associated smooth muscle cell,17,0.03196803,0.5604396
THM_PoN_LG,astrocyte,1219,0.03696304,0.002997003
THM_PoN_LG,central nervous system macrophage,436,0.121878125,0.0969031
THM_PoN_LG,choroid plexus epithelial cell,1,0.52147853,NA
THM_PoN_LG,endothelial cell,103,0.006993007,0.4145854
THM_PoN_LG,fibroblast,452,0.24375625,0.47952047
THM_PoN_LG,leukocyte,38,0.021978023,1
THM_PoN_LG,neuron,40223,0.41858143,0.20979021
THM_PoN_LG,oligodendrocyte,5359,0.4025974,0.9330669
THM_PoN_LG,oligodendrocyte precursor cell,779,0.53446555,0.10889111
THM_PoN_LG,pericyte,201,0.06993007,0.10789211
THM_PoN_LG,vascular associated smooth muscle cell,45,0.05894106,0.45954046
THM_PoN_MG,astrocyte,299,0.014985015,0.08591408
THM_PoN_MG,central nervous system macrophage,185,0.2837163,0.08691309
THM_PoN_MG,endothelial cell,4,0.8141858,0.22677323
THM_PoN_MG,ependymal cell,1,0.9100899,NA
THM_PoN_MG,fibroblast,32,0.65434563,0.08691309
THM_PoN_MG,leukocyte,6,0.004995005,0.3976024
THM_PoN_MG,neuron,10529,0.8631369,0.8051948
THM_PoN_MG,oligodendrocyte,2951,0.16283716,0.45754245
THM_PoN_MG,oligodendrocyte precursor cell,204,0.5764236,0.27972028
THM_PoN_MG,pericyte,15,0.20379621,0.21678321
THM_STH,astrocyte,1312,0.14985014,0.1938062
THM_STH,central nervous system macrophage,836,0.31768233,0.035964034
THM_STH,endothelial cell,17,0.021978023,0.2027972
THM_STH,fibroblast,154,0.31768233,0.6233766
THM_STH,leukocyte,46,0.16383617,0.38161838
THM_STH,neuron,557,0.075924076,0.3026973
THM_STH,oligodendrocyte,16202,0.94505495,0.017982017
THM_STH,oligodendrocyte precursor cell,985,0.26773226,0.58841157
THM_STH,pericyte,45,0.13986014,0.011988012
THM_STH,vascular associated smooth muscle cell,8,0.81718284,0.02897103
