Region,Cell_Type,n_cell,P_val(association),P_val(heterogeneity)
BN_NAC,endothelial cell,2,0.1878122,NA
BN_NAC,ependymal cell,94,0.022977022,0.021978023
BN_NAC,fibroblast,10,0.14485514,0.10889111
BN_NAC,leukocyte,6,0.011988012,0.8091908
BN_NAC,neuron,27406,0.26273727,0.22477522
BN_NAC,oligodendrocyte,1188,0.24375625,0.12687312
BN_NAC,oligodendrocyte precursor cell,538,0.37062937,0.4755245
BN_NAC,pericyte,6,0.36963037,0.4865135
BN_NAC,vascular associated smooth muscle cell,9,0.16883117,0.72727275
BN_Pu,astrocyte,865,0.22077923,0.91808194
BN_Pu,central nervous system macrophage,291,0.21578422,0.055944055
BN_Pu,endothelial cell,22,0.026973028,0.0989011
BN_Pu,fibroblast,58,0.12487513,0.33166832
BN_Pu,leukocyte,18,0.002997003,0.055944055
BN_Pu,neuron,30723,0.8291708,0.6773227
BN_Pu,oligodendrocyte,2017,0.10689311,0.16183816
BN_Pu,oligodendrocyte precursor cell,398,0.47352648,0.976024
BN_Pu,pericyte,20,0.14485514,0.26973027
BN_Pu,vascular associated smooth muscle cell,4,0.36363637,0.0979021
CB_CbDN,Bergmann glial cell,19,0.6073926,0.22177823
CB_CbDN,astrocyte,6267,0.20879121,0.054945055
CB_CbDN,central nervous system macrophage,3304,0.16983017,0.007992008
CB_CbDN,choroid plexus epithelial cell,2,0.27872127,0.000999001
CB_CbDN,endothelial cell,60,0.000999001,0.05294705
CB_CbDN,ependymal cell,17,0.14985014,0.8631369
CB_CbDN,fibroblast,182,0.17182817,0.33266732
CB_CbDN,leukocyte,238,0.08591408,0.04795205
CB_CbDN,neuron,23155,0.27972028,0.2917083
CB_CbDN,oligodendrocyte,16991,0.8931069,0.4055944
CB_CbDN,oligodendrocyte precursor cell,1729,0.7442557,0.36463538
CB_CbDN,pericyte,67,0.12487513,0.18881118
CB_CbDN,vascular associated smooth muscle cell,14,0.14185815,0.16683316
CB_CBL,Bergmann glial cell,1070,0.41658342,0.7202797
CB_CBL,astrocyte,108,0.044955045,0.13586414
CB_CBL,central nervous system macrophage,241,0.22377622,0.03996004
CB_CBL,endothelial cell,34,0.09090909,0.47952047
CB_CBL,fibroblast,69,0.2917083,0.5134865
CB_CBL,leukocyte,11,0.23576424,0.6503497
CB_CBL,neuron,24799,0.72527474,0.31968033
CB_CBL,oligodendrocyte,1105,0.7242757,0.7132867
CB_CBL,oligodendrocyte precursor cell,564,0.6993007,0.8131868
CB_CBL,pericyte,25,0.20779221,0.7822178
CB_CBL,vascular associated smooth muscle cell,2,0.015984016,NA
CB_CBV,Bergmann glial cell,6614,0.38861138,0.7962038
CB_CBV,astrocyte,203,0.04895105,0.077922076
CB_CBV,central nervous system macrophage,1431,0.14285715,0.010989011
CB_CBV,endothelial cell,278,0.035964034,0.16883117
CB_CBV,ependymal cell,1,0.035964034,NA
CB_CBV,fibroblast,173,0.1978022,0.116883114
CB_CBV,leukocyte,61,0.12687312,0.8721279
CB_CBV,neuron,54680,0.2957043,0.04995005
CB_CBV,oligodendrocyte,4387,0.6843157,0.97902095
CB_CBV,oligodendrocyte precursor cell,3862,0.81518483,0.7802198
CB_CBV,pericyte,176,0.07192807,0.037962038
CB_CBV,vascular associated smooth muscle cell,8,0.004995005,0.044955045
Cla,astrocyte,2663,0.030969031,0.07292707
Cla,central nervous system macrophage,887,0.13386613,0.42657343
Cla,endothelial cell,18,0.018981019,0.4755245
Cla,fibroblast,68,0.13786213,0.43256745
Cla,leukocyte,76,0.02097902,0.6233766
Cla,neuron,27853,0.6293706,0.23476523
Cla,oligodendrocyte,7591,0.33566433,0.5494506
Cla,oligodendrocyte precursor cell,998,0.6883117,0.4945055
Cla,pericyte,11,0.13886113,0.53846157
Cx_AG_LEC,astrocyte,820,0.03696304,0.003996004
Cx_AG_LEC,central nervous system macrophage,345,0.11888112,0.04695305
Cx_AG_LEC,endothelial cell,4,0.005994006,0.2927073
Cx_AG_LEC,fibroblast,36,0.22577423,0.91608393
Cx_AG_LEC,leukocyte,15,0.015984016,0.00999001
Cx_AG_LEC,neuron,29852,0.7972028,0.74025977
